rotten_tomatoes_link,movie_title,movie_info,content_rating,genres,directors,authors,actors,original_release_date,streaming_release_date,runtime,production_company,tomatometer_status,tomatometer_rating,tomatometer_count,audience_status,audience_rating,audience_count,tomatometer_top_critics_count,tomatometer_fresh_critics_count,tomatometer_rotten_critics_count,binned
m/10008601-fireflies_in_the_garden,Fireflies in the Garden,"Successful novelist Michael (Ryan Reynolds) visits his family in the Midwest, only to learn that his mother, Lisa (Julia Roberts), has died in a tragic accident. Along with his father, Charles (Willem Dafoe), a college professor, and his sister, Ryne (Shannon Lucio), Michael attempts to come to terms with his grief. Lisa's absence revives many old wounds, however, and the emerging tensions threaten to destroy the family just as they make an effort to come together and mourn.",R,Drama,Dennis Lee (III),Dennis Lee (III),"Emily Watson, Julia Roberts, Ryan Reynolds, Willem Dafoe, Carrie-Anne Moss, Hayden Panettiere, Cayden Boyd, Frank Ertl, George Newbern, Ioan Gruffudd, Chase Ellison, Diane Perella, Grady McCardell, Philip Rose, Brooklynn Proulx, Babs George, Rev. John Stennfield, Natalie Karp, Shannon Lucio",2011-10-14,2014-01-09,98.0,Senator Entertainment,Rotten,22.0,54.0,Spilled,45.0,45155.0,23,12,42,FLOP
m/10009274-priest,Priest,"In a society ravaged by centuries of war between humans and vampires, a legendary warrior priest (Paul Bettany), a veteran of the last conflict, lives in an enclosed city ruled by the church. When a murderous pack of vampires kidnaps his niece (Lily Collins), the priest breaks his sacred vows and sets out to rescue her before the bloodsuckers put the bite on her. Joining him on his quest are his niece's boyfriend (Cam Gigandet) and a former priestess (Maggie Q) with supernatural fighting skills.",PG-13,"Action & Adventure, Horror, Mystery & Suspense, Science Fiction & Fantasy, Western",Scott Stewart,"Scott Stewart, Cory Goodman","Paul Bettany, Maggie Q, Cam Gigandet, Lily Collins, Christopher Plummer, Karl Urban, Brad Dourif, Stephen Moyer, Alan Dale, Mädchen Amick, Jacob Hopkins, Dave Florek, Joel Polinsky, Josh Wingate, Jon Braver, Casey Pieretti, Theo Kypri, John Griffin, David Backhaus, Roger Stoneburner, David Bianchi, Tanoai Reed, Arnold Chon, Austin Priester, Marilyn Brett, Kanin J. Howell, Julie Mond, Michael D. Nye, Raynor Scheine, Kevin T. McCarthy, Boyuen Lou, Anthony Azizi, Pramod Kumar, Lafayette R. Dorsey, Sr.",2011-05-13,2012-04-16,87.0,Screen Gems/SONY PICTURES,Rotten,15.0,100.0,Spilled,46.0,86623.0,18,15,85,FLOP
m/1000_times_good_night,"1,000 Times Good Night","A war-zone photojournalist's (Juliette Binoche) dedication to her dangerous job places her at odds with her family (Nikolaj Coster-Waldau, Lauryn Canny).",NR,Drama,Erik Poppe,Harald Rosenløw-Eeg,"Juliette Binoche, Nikolaj Coster-Waldau, Lauryn Canny, Chloë Annett, Adrianna Cramer Curtis, Bush Moukarzel, Eve Macklin, Mads Ousdal, Maria Doyle Kennedy, Larry Mullen Jr., Des Nealon, Jonathan Byrne, Najat Azgar, Zoubida Afik, Jameela Shafaq, Omar Elmouden, Caitriona Nimhurchu, Stephen Mullan, Carl Shaaban, Peter Sexton, Denise McCormack, Anna Leah Thorseth Poppe",2014-10-24,2016-08-10,117.0,Film Movement,Fresh,71.0,55.0,Upright,65.0,1884.0,22,39,16,AVG
m/10010694-season_of_the_witch,Season of the Witch,"His faith broken by many years fighting in the Crusades, a knight named Behman (Nicolas Cage) returns to Europe and finds it ravaged by the Black Plague. A dying cardinal orders Behman and his friend, Felson (Ron Perlman), to take an accused witch to a remote abbey, where monks will destroy her powers and end the pestilence. As Behman and five comrades undertake the dangerous journey, they come to realize that the prisoner is no ordinary girl, and evil forces await at the destination.",PG-13,"Action & Adventure, Drama, Mystery & Suspense, Science Fiction & Fantasy",Dominic Sena,"Bragi Schut, Jr, Bragi F. Schut, Dominic Sena","Nicolas Cage, Ron Perlman, Stephen Campbell Moore, Stephen Graham, Ulrich Thomsen, Claire Foy, Robbie Sheehan, Robert Sheehan, Christopher Lee, Kevin Rees, Andrew Hefler, Fernanda Dorogi, Rebekah Kennedy, Matt Devere, Róbert Bánlaki, Barna Illyés, Kevin Killebrew, Simone Kirby, Elen Rhys, Nick Sidi, Rory McCann, Nicola Sloane, Brian F. O'Byrne, Ada Michelle Loridans, Lisa Marie Dupree, Gergely Horpácsi, László Imre, Norbert Kovács, Zsolt Magyari, Stephen Campbell-Moore, Stephen Campbell Moore",2011-01-07,2011-06-23,95.0,Relativity Media,Rotten,11.0,124.0,Spilled,30.0,79868.0,30,14,110,FLOP
m/10011494-last_ride,Last Ride,A young boy (Tom Russell) and his wanted father (Hugo Weaving) travel across Australia.,PG-13,Drama,Glendyn Ivin,Mac Gudgeon,"Hugo Weaving, Tom Russell, Anita Hegh, John Brumpton, Sonya Suares, Kelton Pell, Mick Coulthard, Rachel Francis, Adam Morgan, Chrissie Page, Levine Ngatokorua",2012-06-29,2016-08-10,100.0,Music Box Films,Fresh,93.0,28.0,Upright,65.0,3560.0,10,26,2,HIT
m/10011815-hole,The Hole,Two brothers find a hole in the basement that leads to their darkest fears and nightmares.,PG-13,"Kids & Family, Mystery & Suspense, Science Fiction & Fantasy",Joe Dante,Mark L. Smith,"Chris Massoglia, Haley Bennett, Nathan Gamble, Teri Polo, Bruce Dern, Quinn Lord, Dick Miller, John De Santis, Jonathan Bruce, Mark Pawson, Peter Shinkoda, Doug Chapman, Merritt Patterson, Ali Cobrin, Chelsea Ricketts, Chord Overstreet, Wade Williams, Mary Matilyn Mouser, Allan Wilson",2012-09-28,2016-08-08,92.0,Hole LLC.,Fresh,81.0,36.0,Spilled,46.0,14727.0,8,29,7,HIT
m/10012150-high_school,High School,"The day after high-school senior Henry Burke (Matt Bush) smokes his very first joint, his principal (Michael Chiklis) institutes a mandatory drug test for all students. Since he'll lose his college scholarship if he fails the drug test, Henry forms a half-baked plan. He teams up with his stoner pal Breaux (Sean Marquette) to steal some prime weed from a drug dealer named Psycho Ed (Adrien Brody), and uses it to spike the brownies intended for the school's bake sale.",R,Comedy,"John Stalberg, Jr.","John Stalberg, Jr., Erik Linthorst, Stephen Susco","Adrien Brody, Matt Bush, Sean Marquette, Michael Chiklis, Colin Hanks, Adhir Kalyan, Mykelti Williamson, Luis Chavez, Max Van Ville, Brett Kelly, Joseph Julian Soria, George Back, Alicia Sixtos, Andrew Wilson, Camille Mana, Erica Vittina Phillips, Julia Ling, Cody Longo, Mary Birdsong, Yeardley Smith, Curtis Armstrong, Rhys Coiro, Arcadiy Golubovich, Terri Lynn Rodriguez, Robert Bailey Jr., Nadine Crocker, Kevin Yon, Michael Eshaq, Kellie Rasmus, Heather Kleisner, Karl Murphy, Heather Regan, Alex Biats, Clarence Smith, Ron Ayers, Carl Harry Carlson, Randy Godwin, Mike Evans, Wallace Bridges, Shirley Benyas, Julia Ho, Tom Ingram, Barret Swatek, John Beard, Kerry Birmingham, Mike Woods, John O'Hurley, Wyatt Russell, David Herbst, Linda Boston, Rachel Quaintance, Peter Tocco, Billye Thompson, Sammy Publes, Rene Santana, John Stalberg, Jr.",2012-06-01,2017-03-02,99.0,Anchor Bay Entertainment,Rotten,28.0,54.0,Spilled,48.0,8211.0,18,15,39,FLOP
m/1001_grams,1001 Grams,"Marie, a Norwegian scientist, attends a seminar in Paris to discuss the actual weight of a kilo, and her own disappointments, grief and love end up on the scale.",NR,Drama,Bent Hamer,Bent Hamer,"Ane Dahl Torp, Laurent Stocker, Stein Winge, Hildegun Riise, Per Christian Ellefsen, Peter Hudson, Didier Flamand, Dinara Drukarova, Torsten Knippertz, Daniel Drewes, Joseph Rezwin, Christian Erickson",2015-05-08,2016-10-06,93.0,Kino Lorber,Fresh,82.0,22.0,Spilled,48.0,267.0,7,18,4,HIT
m/100_bloody_acres_2013,100 Bloody Acres,"Three friends fall into the clutches of brothers (Damon Herriman, Angus Sampson) who want to use their blood and bones in a new fertilizer mixture.",NR,"Comedy, Horror","Colin Cairnes, Cameron Cairnes","Colin Cairnes, Cameron Cairnes","Damon Herriman, Angus Sampson, Anna McGahan, Oliver Ackland, Jamie Kristian, John Jarratt, Chrissie Page, Paul Blackwell, Iain Herridge, Ward Everaardt, Reg the Dog",2013-06-28,2016-08-10,91.0,Doppelganger Releasing,Fresh,79.0,38.0,Spilled,47.0,1642.0,13,30,8,AVG
m/100_streets,100 Streets,"Three different stories covering infidelity, adoption and a drug dealer turned actor are intertwined as characters meet in the streets of London.",NR,Drama,Jim O'Hanlon,Leon Butler,"Idris Elba, Gemma Arterton, Charlie Creed-Miles, Franz Drameh, Kierston Wareing, Tom Cullen, Ken Stott, Jo Martin, Kola Bokinni, Hope Kiernan, Jordan Nash, Ryan Gage, Ashley Thomas, Mark Frost, Cali Nelle, Emily Wyatt, Lorraine Stanley, Alex Mills, Mark Aiken, Tim Treloar, Winston Ellis, Paul Hickey, Adam Iraki, Dean Mitchell, Jay Sutherland, Duayne Boachie, Leon F. Butler, Frankie Oatway, Leon Butler, Carolina Tong, Jason Crane, Natasha Alderslade, Guetan Calvin Elito, John Inverdale, Dan Lobb, Luke Adams, Kay Burley, Richard Brimblecombe, Jack O'Connor, Banjit Krishnamma, Matt Rentell, Dominic Geraghty, Youssef Berouain, Elizabeth Bungeneers, Anna Ord, Leona Carlo, Nuakai Aru, Kyran Bracken, Sharron Spice",2017-01-13,2017-04-04,93.0,Green Door Pictures,Rotten,41.0,39.0,Spilled,36.0,1547.0,10,16,23,FLOP
